ABRIGNANI;IGNAZIO;abrignani_i;Y
ADORNATO;FERDINANDO;adornatoliberal;Y
AGOSTINI;ROBERTA;robertagostini_;Y
AIELLO;FERDINANDO;ferdinandaiello;N
AIRAUDO;GIORGIO;GAiraudo;N
AIROLA;ALBERTO;AlbertoAirola;N
ALBANO;DONATELLA;DonatellaAlbano;Y
ALBINI;TEA;TeaAlbini;Y
ALFANO;ANGELINO;angealfa;N
ALFANO;GIOACCHINO;g_alfano;Y
ALFREIDER;DANIEL;AlfreiderDaniel;Y
ALLASIA;STEFANO;StefanoAllasia;N
ALLI;PAOLO;paoloalli;Y
AMIDEI;BARTOLOMEO;amideibart;N
AMODDIO;SOFIA;SofiaAmoddio;Y
AMORUSO;FRANCESCO MARIA;Framoruso;Y
ANGELUCCI;ANTONIO;AvvAngelucci;N
ANITORI;FABIOLA;fabiolaanitori;N
ANZALDI;MICHELE;Michele_Anzaldi;Y
ARACRI;FRANCESCO;AracriFrancesco;N
ARGENTIN;ILEANA;IleanaArgentin;Y
ARLOTTI;TIZIANO;TizianoArlotti;Y
ARRIGONI;PAOLO;arrigoni_paolo;N
ARTINI;MASSIMO;MassimoArtini;N
ASCANI;ANNA;AnnaAscani;Y
ASTORRE;BRUNO;BrunoAstorre;Y
BALDASSARRE;MARCO;kitoBaldassarre;N
BALDELLI;SIMONE;simonebaldelli;N
BARADELLO;MAURIZIO;mbaradello;Y
BARANI;LUCIO;LUCIOBARANI;Y
BARBANTI;SEBASTIANO;SBarbanti;Y
BARETTA;PIER PAOLO;PPBaretta;Y
BARGERO;CRISTINA;CristinaBargero;Y
BARUFFI;DAVIDE;Davidebaruffi;Y
BASILIO;TATIANA;tatianabasilio1;N
BASSO;LORENZO;lorenzobasso;Y
BATTELLI;SERGIO;BattelliM5S;N
BATTISTA;LORENZO;lor_bat;Y
BAZOLI;ALFREDO;alfredobazoli;Y
BECATTINI;LORENZO;lorebecattini;Y
BECHIS;ELEONORA;EleonoraBechis;N
BELLANOVA;TERESA;TeresaBellanova;Y
BENAMATI;GIANLUCA;GBenamati;Y
BENCINI;ALESSANDRA;alessandrabenci;Y
BENEDETTI;SILVIA;SilviaBM5S;N
BENI;PAOLO;Paolo_Beni;Y
BERGAMINI;DEBORAH;DeborahBergamin;N
BERGONZI;MARCO;MarcoBergonzi;Y
BERLINGHIERI;MARINA;M_Berlinghieri;Y
BERNARDO;MAURIZIO;liberidifare;Y
BERNINI;ANNA MARIA;BerniniAM;N
BERNINI;MASSIMILIANO;MBernini_M5S;N
BERNINI;PAOLO;Bernini_P;N
BERRETTA;GIUSEPPE;G_Berretta;Y
BERSANI;PIER LUIGI;pbersani;Y
BERTOROTTA;ORNELLA;OBertorotta;N
BERTUZZI;MARIA TERESA;mtbertuzzi;Y
BIANCHI;DORINA;dorina_bianchi;Y
BIANCHI;NICOLA;nicola_bianchi;N
BIANCHI;STELLA;stellabianchi;Y
BIANCO;AMEDEO;bianco_amedeo;Y
BIANCOFIORE;MICHAELA;BiancofioreMiky;N
BIANCONI;LAURA;sen_bianconi;Y
BIANCONI;MAURIZIO;On_Bianconi;N
BIASOTTI;SANDRO;sandrobiasotti;N
BIGNAMI;LAURA;LauraBignami1;N
BILARDI;GIOVANNI EMANUELE;BilardiGiovanni;Y
BINDI;ROSY;rosy_bindi;Y
BINETTI;PAOLA;paolabinetti;Y
BINI;CATERINA;caterinabini;Y
BIONDELLI;FRANCA;FrancaBiondelli;Y
BISINELLA;PATRIZIA;PBisinella;Y
BLAZINA;TAMARA;TamaraBlazina;Y
BLUNDO;ROSETTA ENZA;enzablundo1;N
BOBBA;LUIGI;LuigiBobba;Y
BOCCA;BERNABÃ²;bernabobocca;Y
BOCCADUTRI;SERGIO;boccadutri;Y
BOCCARDI;MICHELE;senboccardi;N
BOCCIA;FRANCESCO;F_Boccia;Y
BOLDRINI;LAURA;lauraboldrini;Y
BOLOGNESI;PAOLO;paolobolognesi_;Y
BONACCORSI;LORENZA;lorenzabo;Y
BONAFEDE;ALFONSO;AlfonsoBonafede;N
BONDI;SANDRO;sandrobondi;Y
BONIFAZI;FRANCESCO;FrancescoBonif1;Y
BONOMO;FRANCESCA;FraBonomo;Y
BORDO;MICHELE;bordomichele;Y
BORDO;FRANCO;FrancoBordo1;N
BORGHESE;MARIO;MarioBorgheseOK;N
BORGHESI;STEFANO;BorghesiStefano;N
BORGHI;ENRICO;EnricoBorghi1;Y
BORIOLI;DANIELE GAETANO;DanieleBorioli;Y
BOSCHI;MARIA ELENA;meb;Y
BOSSA;LUISA;LuisaBlive;Y
BOSSI;UMBERTO;Bossi_LegaNord;N
BOTTICI;LAURA;LauraBottici;N
BRAGA;CHIARA;bragachiara;Y
BRAGANTINI;MATTEO;m_bragantini;Y
BRAGANTINI;PAOLA;PaolaBragantini;Y
BRANDOLIN;GIORGIO;Giorg_Brandolin;Y
BRATTI;ALESSANDRO;alebratti;Y
BRESCIA;GIUSEPPE;g_brescia;N
BRIGNONE;BEATRICE;beabri;N
BROGLIA;CLAUDIO;Claudio_Broglia;Y
BRUGNEROTTO;MARCO;MarcoBrugne;N
BRUNETTA;RENATO;renatobrunetta;N
BUBBICO;FILIPPO;filippobubbico;Y
BUCCARELLA;MAURIZIO;MBuccarella;N
BUEMI;ENRICO;BUEMIENRICO;Y
BUENO;RENATA;RenataBueno23;Y
BUSIN;FILIPPO;FilippoBusin;N
BUSINAROLO;FRANCESCA;FrancBusinarolo;N
BUSTO;MIRKO;MirkoBusto;N
BUTTIGLIONE;ROCCO;R_Buttiglione;Y
CALABRIA;ANNAGRAZIA;AngieCalabria;N
CALDEROLI;ROBERTO;bertocald;N
CALEO;MASSIMO;Massimo_Caleo;Y
CAMANI;VANESSA;VanessaCamani;Y
CAMPANA;MICAELA;micaela_campana;Y
CAMPANELLA;FRANCESCO;cicci1;N
CANCELLERI;AZZURRA PIA MARIA;Azzurra_C;N
CANDIANI;STEFANO;CandianiStefano;N
CANI;EMANUELE;emacani;Y
CANTINI;LAURA;CantiniL;Y
CAON;ROBERTO;Roberto__Caon;Y
CAPACCHIONE;ROSARIA;RosCapacchione;Y
CAPARINI;DAVIDE;davidecaparini;N
CAPEZZONE;DANIELE;Capezzone;N
CAPONE;SALVATORE;SalvCapone;Y
CAPOZZOLO;SABRINA;SabriCapozzolo;Y
CAPPELLETTI;ENRICO;e_cappelletti;N
CARBONE;ERNESTO;ernestocarbone;Y
CARDIELLO;FRANCO;FrancoCardiello;N
CARDINALI;VALERIA;ValeriaCardina6;Y
CARFAGNA;MARIA ROSARIA;mara_carfagna;N
CARIDI;ANTONIO STEFANO;caridi_antonio;N
CARIELLO;FRANCESCO;CarielFr;N
CARINELLI;PAOLA;berenice0104;N
CARLONI;ANNA MARIA;amcarloni;Y
CARNEVALI;ELENA;ElenaCarnevali;Y
CARRESCIA;PIERGIORGIO;PgCarrescia;Y
